1950	-1.022	-1.146	-1.289	-1.058	-1.42	-1.366	-1.33	-1.066	-.576	-.394	-1.154	-1.247
1951	-1.068	-1.196	-1.209	-.437	-.275	.464	.739	.864	.779	.752	.728	.467
1952	.406	.133	.088	.262	-.267	-.638	-.245	-.157	.362	.311	-.338	-.125
1953	.024	.38	.267	.712	.84	.246	.416	.252	.522	.092	.049	.313
1954	-.051	-.019	.175	-.506	-1.425	-1.589	-1.397	-1.467	-1.154	-1.372	-1.146	-1.106
1955	-.771	-.695	-1.133	-1.557	-1.631	-2.287	-1.932	-2.04	-1.826	-1.745	-1.826	-1.862
1956	-1.436	-1.3	-1.396	-1.156	-1.302	-1.508	-1.207	-1.14	-1.363	-1.463	-1.036	-1.014
1957	-.948	-.352	.152	.352	.908	.773	.937	1.128	1.183	1.098	1.133	1.231
1958	1.473	1.448	1.315	1.025	.743	.896	.708	.443	.177	.208	.49	.707
1959	.575	.803	.503	.217	.016	.022	-.2	.074	.055	-.079	-.183	-.265
1960	-.311	-.261	-.08	.019	-.325	-.242	-.349	-.255	-.476	-.365	-.339	-.433
1961	-.151	-.266	-.081	.018	-.284	-.083	-.178	-.237	-.263	-.518	-.44	-.644
1962	-1.093	-.993	-.716	-1.023	-.92	-.857	-.712	-.556	-.55	-.655	-.594	-.478
1963	-.702	-.843	-.701	-.816	-.469	-.044	.438	.63	.763	.83	.854	.748
1964	.857	.451	-.293	-.617	-1.273	-1.097	-1.406	-1.496	-1.286	-1.204	-1.194	-.905
1965	-.525	-.323	-.25	.104	.535	.956	1.395	1.484	1.404	1.219	1.369	1.257
1966	1.31	1.193	.697	.556	-.135	-.128	-.149	.17	-.085	-.014	.025	-.182
1967	-.473	-.937	-1.079	-1.067	-.478	-.354	-.63	-.429	-.632	-.68	-.424	-.368
1968	-.595	-.706	-.618	-.973	-1.095	-.731	-.55	-.121	.24	.425	.599	.359
1969	.689	.868	.447	.617	.706	.798	.421	.142	.158	.505	.644	.38
1970	.359	.406	.215	-.055	-.133	-.736	-1.14	-1.051	-1.245	-1.102	-1.096	-1.25
1971	-1.225	-1.521	-1.812	-1.897	-1.461	-1.5	-1.225	-1.233	-1.463	-1.421	-1.305	-1.006
1972	-.593	-.408	-.255	-.206	.487	1.193	1.886	1.822	1.503	1.621	1.724	1.747
1973	1.707	1.484	.844	.482	-.124	-.819	-1.068	-1.369	-1.75	-1.695	-1.525	-1.873
1974	-1.942	-1.794	-1.767	-1.684	-1.081	-.647	-.727	-.628	-.61	-1.049	-1.255	-.929
1975	-.565	-.604	-.88	-.967	-.853	-1.149	-1.478	-1.742	-1.878	-2	-1.794	-1.758
1976	-1.624	-1.396	-1.253	-1.191	-.481	.342	.613	.653	1.027	.953	.482	.556
1977	.518	.254	.093	.531	.342	.503	.868	.691	.817	1.007	.972	.877
1978	.779	.895	.953	.18	-.396	-.563	-.412	-.183	-.386	-.018	.199	.398
1979	.595	.363	-.01	.29	.397	.387	.358	.649	.769	.636	.733	1.014
1980	.695	.592	.668	.872	.918	.851	.787	.341	.278	.205	.236	.118
1981	-.245	-.164	.443	.637	.12	-.018	-.034	-.072	.186	.088	-.055	-.153
1982	-.282	-.148	.085	-.041	.407	.951	1.62	1.829	1.792	2.025	2.453	2.413
1983	2.688	2.903	3.037	2.876	2.556	2.174	1.741	1.114	.422	.002	-.175	-.176
1984	-.339	-.564	.132	.331	.124	-.127	-.138	-.181	-.081	.016	-.351	-.612
1985	-.562	-.601	-.732	-.484	-.73	-.094	-.156	-.395	-.544	-.139	-.05	-.293
1986	-.307	-.195	.028	-.169	.305	.311	.384	.812	1.168	.996	.873	1.183
1987	1.237	1.187	1.722	1.865	2.122	1.91	1.847	1.949	1.832	1.61	1.253	1.251
1988	1.091	.668	.46	.307	.088	-.697	-1.174	-1.382	-1.591	-1.351	-1.468	-1.343
1989	-1.167	-1.308	-1.056	-.842	-.487	-.266	-.454	-.505	-.281	-.318	-.066	.142
1990	.233	.536	.919	.393	.595	.408	.084	.119	.376	.24	.371	.334
1991	.309	.309	.392	.444	.719	1.154	1.011	1.002	.734	1.016	1.201	1.32
1992	1.75	1.87	1.992	2.271	2.13	1.722	.946	.537	.514	.669	.603	.644
1993	.699	.997	.978	1.388	1.987	1.478	1.09	1	.98	1.058	.823	.561
1994	.337	.192	.158	.423	.522	.747	.823	.73	.879	1.434	1.276	1.183
1995	1.199	.959	.858	.419	.495	.463	.182	-.206	-.473	-.488	-.496	-.559
1996	-.644	-.595	-.266	-.505	-.174	.011	-.208	-.401	-.499	-.389	-.164	-.338
1997	-.487	-.607	-.253	.493	1.119	2.307	2.756	3	2.998	2.356	2.517	2.32
1998	2.482	2.777	2.752	2.673	2.171	1.151	.285	-.431	-.674	-.851	-1.17	-1.012
1999	-1.151	-1.233	-1.061	-1.022	-.678	-.412	-.465	-.802	-1.009	-1.013	-1.08	-1.208
